Kraj,Okres,Obec,Kod obce,Vydané obálky,Odevzdané obálky,Platné hlasy,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù
Plzeòskı kraj,Klatovy,Bìhaøov,541842,142,83,80,5,0,0,2,0,7,5,0,1,0,2,0,9,0,1,3,32,0,4,0,0,0,0,9,0
Plzeòskı kraj,Klatovy,Bìšiny,555797,657,398,397,31,1,0,20,0,13,24,3,6,6,0,1,38,0,0,9,159,7,30,0,2,1,3,42,1
Plzeòskı kraj,Klatovy,Bezdìkov,555801,725,447,442,41,6,0,32,2,17,45,6,6,5,0,0,55,0,0,22,147,1,14,0,0,0,0,40,3
Plzeòskı kraj,Klatovy,Biøkov,578088,103,67,67,8,0,0,12,0,3,5,1,1,0,0,1,7,0,0,2,17,0,1,0,5,0,0,4,0
Plzeòskı kraj,Klatovy,Bolešiny,555835,612,417,416,39,1,0,21,1,43,25,0,5,4,0,0,48,0,1,11,123,3,31,0,7,0,1,48,4
Plzeòskı kraj,Klatovy,Bøeany,541923,162,105,105,5,0,0,9,0,4,11,0,0,0,0,0,10,0,0,1,55,0,6,0,0,0,0,4,0
Plzeòskı kraj,Klatovy,Budìtice,555894,242,168,168,18,0,0,20,0,4,15,0,3,3,0,0,18,0,0,2,58,1,9,0,0,0,4,13,0
Plzeòskı kraj,Klatovy,Bukovník,530085,59,42,42,6,0,0,2,0,3,5,0,0,0,0,0,2,0,0,1,16,0,4,0,0,0,0,3,0
Plzeòskı kraj,Klatovy,Èachrov,555941,442,261,260,30,0,0,30,0,11,16,1,0,1,0,0,33,0,0,11,68,0,16,0,0,0,0,43,0
Plzeòskı kraj,Klatovy,Èerníkov,553531,282,146,146,16,0,0,10,0,6,10,1,1,0,1,0,10,0,0,1,59,0,5,0,1,0,1,24,0
Plzeòskı kraj,Klatovy,Èervené Poøíèí,542172,193,117,117,8,0,0,8,0,10,10,2,1,1,0,0,6,0,0,5,48,0,4,0,0,5,0,9,0
Plzeòskı kraj,Klatovy,Èíhaò,542024,174,97,97,6,1,1,7,0,5,2,2,0,0,0,0,24,1,0,0,29,0,6,0,1,0,0,11,1
Plzeòskı kraj,Klatovy,Èímice,578495,128,101,101,9,0,0,6,0,2,11,2,1,0,1,0,9,0,0,7,42,0,3,0,2,0,0,6,0
Plzeòskı kraj,Klatovy,Dešenice,556041,559,353,351,31,0,0,20,0,17,74,1,1,1,0,1,32,0,0,8,105,0,17,0,0,1,0,42,0
Plzeòskı kraj,Klatovy,Dlaov,556068,382,202,200,5,3,0,8,0,14,26,2,2,1,1,0,15,0,0,9,84,0,11,0,0,0,1,18,0
Plzeòskı kraj,Klatovy,Dlouhá Ves,556076,665,402,402,40,1,0,28,0,27,25,4,5,1,0,2,42,0,1,16,158,2,12,1,2,2,0,33,0
Plzeòskı kraj,Klatovy,Dobršín,530123,86,66,66,21,0,0,5,0,1,1,1,1,1,0,0,4,0,0,2,18,0,1,0,1,0,1,8,0
Plzeòskı kraj,Klatovy,Dolany,556106,716,444,440,29,1,2,30,1,29,43,4,1,8,2,1,38,0,0,15,149,5,18,0,0,4,4,54,2
Plzeòskı kraj,Klatovy,Domoraz,578517,50,39,39,2,0,0,5,0,1,3,0,0,0,0,0,5,0,0,0,16,0,3,0,0,1,0,3,0
Plzeòskı kraj,Klatovy,Draovice,566683,124,80,79,1,0,0,8,0,4,8,3,0,3,0,0,6,0,0,4,20,0,1,0,0,0,0,21,0
Plzeòskı kraj,Klatovy,Frymburk,578525,81,59,58,11,0,0,6,0,2,1,0,0,0,0,0,0,0,0,5,23,0,6,0,0,0,0,4,0
Plzeòskı kraj,Klatovy,Hamry,578240,112,76,75,9,0,0,3,1,1,5,1,0,1,0,0,7,1,0,4,30,0,7,0,0,0,0,5,0
Plzeòskı kraj,Klatovy,Hartmanice,556181,863,475,472,37,5,0,26,2,20,52,4,8,2,0,0,54,0,0,12,152,1,38,6,5,1,1,43,3
Plzeòskı kraj,Klatovy,Hejná,541796,139,98,98,7,0,0,10,0,3,5,0,0,0,0,0,10,0,0,0,53,0,3,0,0,0,0,7,0
Plzeòskı kraj,Klatovy,Hlavòovice,556203,402,279,278,18,0,0,16,1,16,20,1,4,4,1,1,37,0,0,5,92,0,44,0,4,2,1,10,1
Plzeòskı kraj,Klatovy,Hnaèov,542083,88,60,60,7,0,0,8,0,3,3,0,0,0,0,0,3,0,0,0,24,0,1,0,0,0,0,11,0
Plzeòskı kraj,Klatovy,Horaïovice,556254,4347,2689,2669,261,9,1,241,0,197,175,24,43,28,2,3,302,1,0,85,892,4,165,2,9,4,4,214,3
Plzeòskı kraj,Klatovy,Horská Kvilda,542091,89,68,68,23,0,0,0,0,3,0,1,0,0,0,0,11,0,0,10,18,0,0,0,0,0,0,2,0
Plzeòskı kraj,Klatovy,Hrádek,556301,1112,684,678,85,0,0,38,5,32,38,16,10,10,0,1,66,1,0,26,207,0,57,1,2,2,0,81,0
Plzeòskı kraj,Klatovy,Hradešice,556319,340,206,204,22,1,1,21,1,15,14,3,3,4,0,0,23,0,0,12,52,0,17,0,3,1,0,10,1
Plzeòskı kraj,Klatovy,Chanovice,556335,569,382,380,35,1,0,37,0,54,22,1,0,6,0,1,21,0,0,15,122,0,25,0,1,1,1,36,1
Plzeòskı kraj,Klatovy,Chlistov,556343,121,85,83,10,0,0,7,0,1,8,0,2,0,0,0,5,0,0,1,34,0,5,0,1,0,0,9,0
Plzeòskı kraj,Klatovy,Chudenice,556378,606,363,361,22,2,0,25,0,17,36,2,2,8,0,0,38,0,0,16,128,8,12,0,3,1,0,40,1
Plzeòskı kraj,Klatovy,Chudenín,556386,477,260,256,25,0,0,18,0,17,26,4,2,9,0,0,12,0,0,9,92,2,7,1,0,0,1,30,1
Plzeòskı kraj,Klatovy,Janovice nad Úhlavou,556394,1737,1001,993,102,6,2,94,0,39,86,5,4,12,3,1,110,0,1,18,362,0,34,1,1,3,2,103,4
Plzeòskı kraj,Klatovy,Javor,541869,56,41,41,5,6,0,1,0,3,3,0,0,0,0,0,2,0,0,2,13,0,2,0,0,0,0,4,0
Plzeòskı kraj,Klatovy,Jeovy,541753,186,105,104,12,0,0,14,0,4,8,1,0,3,0,0,13,0,0,1,23,0,6,0,0,0,0,17,2
Plzeòskı kraj,Klatovy,Kašperské Hory,556432,1255,773,767,105,2,1,64,1,23,47,5,9,9,1,0,74,1,2,41,258,3,35,0,3,1,1,79,2
Plzeòskı kraj,Klatovy,Kejnice,541826,89,58,57,1,0,0,0,0,7,19,0,2,0,0,0,4,0,0,2,10,0,7,0,0,0,0,5,0
Plzeòskı kraj,Klatovy,Klatovy,555771,17816,10845,10796,1407,24,7,911,20,390,958,112,107,160,12,17,1137,2,8,530,3330,17,397,5,54,40,25,1095,31
Plzeòskı kraj,Klatovy,Klenová,541851,95,56,56,1,1,0,5,1,3,9,1,0,1,0,0,6,0,0,2,18,1,2,0,0,0,0,5,0
Plzeòskı kraj,Klatovy,Kolinec,556467,1155,685,679,32,1,1,42,4,88,85,6,3,2,0,3,62,0,0,18,210,4,32,0,5,1,2,78,0
Plzeòskı kraj,Klatovy,Kovèín,578177,72,38,38,2,0,0,1,0,6,0,0,0,1,0,0,2,1,0,1,20,0,0,0,0,0,0,4,0
Plzeòskı kraj,Klatovy,Køenice,556505,172,101,101,15,0,0,5,0,5,10,0,2,0,0,0,11,0,0,6,28,0,2,0,0,0,2,15,0
