Kraj,Okres,Obec,Kód obce,Okrsek,Vydané obálky,Odevzdané obálky,Platné hlasy,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Volte Pravı Blok,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Spoleènost proti developerské vıstavbì v Prokopském údolí,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Unie H.A.V.E.L.,Èeská národní fronta,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù,Národ Sobì
Karlovarskı kraj,Cheb,Cheb,554481,29,543,353,351,24,1,0,19,0,0,37,39,1,0,0,4,0,1,25,0,0,0,0,11,139,0,2,7,0,0,0,3,38,0,0
Karlovarskı kraj,Cheb,Cheb,554481,23,208,106,105,5,1,0,5,0,0,0,16,1,0,0,1,0,0,6,0,0,0,0,4,42,0,0,0,0,1,0,2,21,0,0
Karlovarskı kraj,Cheb,Cheb,554481,14,1301,652,652,62,6,0,63,0,0,35,62,8,1,0,9,4,6,63,0,0,0,1,21,211,0,2,14,0,1,1,2,78,2,0
Karlovarskı kraj,Cheb,Cheb,554481,22,438,213,213,24,1,0,13,0,0,19,15,3,1,0,2,1,2,17,0,0,0,0,7,81,0,1,0,0,0,1,1,23,1,0
Karlovarskı kraj,Cheb,Cheb,554481,9,659,366,362,30,1,0,28,0,0,34,42,7,1,0,9,0,1,28,0,0,0,0,14,125,0,1,8,0,4,2,1,26,0,0
Karlovarskı kraj,Cheb,Cheb,554481,26,684,399,397,27,2,0,42,0,0,28,54,3,3,0,2,1,0,31,0,0,0,0,7,148,0,1,10,0,3,1,0,34,0,0
Karlovarskı kraj,Cheb,Cheb,554481,11,555,291,288,18,3,0,18,0,0,14,28,3,5,0,2,0,0,22,0,0,0,0,13,108,0,1,8,0,1,0,1,43,0,0
Karlovarskı kraj,Cheb,Cheb,554481,1,1624,373,373,44,3,0,16,0,0,20,19,12,4,0,9,0,1,36,0,0,0,3,14,113,0,2,12,0,4,0,7,53,1,0
Karlovarskı kraj,Cheb,Cheb,554481,20,706,426,420,24,1,0,30,0,0,28,56,5,2,0,3,0,0,40,0,0,0,0,6,154,0,0,14,0,0,2,0,54,1,0
Karlovarskı kraj,Cheb,Cheb,554481,17,788,401,397,41,3,0,22,0,0,32,38,6,1,0,3,1,1,40,0,0,0,0,18,131,0,0,7,0,1,0,0,52,0,0
Karlovarskı kraj,Cheb,Cheb,554481,31,166,106,105,7,1,0,1,0,0,6,11,3,0,0,1,0,0,6,0,0,0,0,1,59,0,0,0,0,0,0,0,9,0,0
Karlovarskı kraj,Cheb,Cheb,554481,7,880,487,487,23,0,0,40,0,0,27,50,8,3,0,2,2,1,50,0,0,0,0,11,182,0,2,10,0,2,0,1,70,3,0
